,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046
F012,,0.046398893097797135,0.0490249215939528,0.033426231925242904,0.33907217498101844,0.29507900402045506,0.4265265713953538,0.44879589155794275,-0.2836360215667925,0.13691924716645348,0.4224345862031604,,-0.03388484780444669,0.10839958266851087,0.04842543580579134,-0.020522946351114464,0.17224573909308677,,0.18970736407736688,0.08772389488549083,0.3870466027499232,0.056480500323887316,0.2497633784025629,,0.3436854319980475,0.2031596919835454,,0.08345289329291321,0.23033984887699846,,-0.20176994943215748,0.059934415009325046,0.10142160793057517,,0.09850517513116486,0.2009732818288816,,0.024580746953707718,0.18662642240818803,0.0337347335460812,0.2695952568836054,0.32878447904679686,,-0.09374021586883455,,0.24967716265540446
F013,-0.031116704143472822,-0.00031123238686332836,-0.014198757306953393,-0.02375914869243051,-0.014588079653913198,-0.03487060007824477,-0.12959910204295386,-0.003286593875526672,0.061049533213876093,0.006364817260893545,-0.1208736260149201,-0.03388484780444669,,-0.015684268035591573,-0.00025335359069113646,0.0057343718824402964,-0.04989024538136726,-0.016919775379590295,0.0155485942727201,-0.0021721166918889936,-0.15925824153803514,-0.0015753235532545173,-0.03990708434338724,-0.023851150320076706,-0.09486032011617129,0.003414624494910082,-0.012882762892001971,-0.03274981320948788,-0.006509435079607005,-0.025626604268247095,0.07601042206090879,-0.0008649914825520626,-0.019835167019574367,-0.03620909379878416,-0.0024234439143940053,-0.046209543955873164,-0.01890964546743467,0.0018908550995045661,0.0004278305474424609,-0.08745063092879114,0.004459226575513599,0.0029866055422812007,-0.036574352207073425,-0.03350179679943592,-0.032191347978763246,-0.0009128315987476227
F014,0.10087995859163044,0.29096826519768787,0.14618461546616202,0.012663667133904374,0.0368744734107459,0.4989749912067144,0.07887126887585466,0.08399092857694009,-0.09991062188928873,0.1853626021915536,0.07851072226225907,0.10839958266851087,-0.015684268035591573,,0.004352957672419563,0.017134365051467194,0.4026417186209809,0.09096770416512365,0.13159036447874597,0.04706459221197183,0.08034131938037867,-0.006312034172191517,0.46075488857315655,0.09832418017790936,0.06151822522195351,0.10292722349257528,0.08862849962328025,,0.02186283776548829,0.09718450479660314,-0.03555715217558529,0.03016356830642294,,0.10637201202483566,0.04535255532008079,0.4154822262262113,0.09520163012420886,,0.1635253991973129,-0.015026227529158718,0.2752020009082187,0.060692599808817284,0.1061569655086156,-0.019196169843611464,0.10334732557935457,0.028445170255279522
F015,0.07630005329781234,0.02130497261372695,-0.021440872130623952,0.02025912910996961,0.14987466172015726,-0.0009983733481268543,0.0006248810833746028,0.12883907096706165,0.038094628994028816,0.021444317198091194,0.017797608025435573,0.04842543580579134,-0.00025335359069113646,0.004352957672419563,,-0.32887692960050996,0.0009035387268606796,0.0877792618834221,0.029302989303601885,-0.06784270473003559,-0.04952896125000223,0.19056720165644708,0.0026062666974855735,0.09636949065642364,0.0331345212345864,0.024323979950559613,0.10933720376651286,0.011554671926736145,0.10745027506716093,0.07360385373420068,0.041343775394155874,-0.04680507832813233,0.01086131541147132,0.01893190871371396,-0.06045018224722461,0.004833356737839111,0.08885626312648144,0.006187579267072475,0.03214688050930925,0.010476300497104712,0.021720477755286408,0.05805106152307338,0.04683587852864446,-0.16371435427261238,0.062148384105781496,0.19762647325415733
F016,-0.01705490416957624,0.010394449480593239,0.006232003605969767,-0.0029466355383807605,0.08986977515504503,0.005072515402541028,-0.06855070988784996,0.09210915284498858,-0.0039878224933447655,0.029157078893321725,-0.07804973308452401,-0.020522946351114464,0.0057343718824402964,0.017134365051467194,-0.32887692960050996,,-0.00989355032892902,0.050822003710167575,0.0300216706415384,0.17208049133448505,-0.026287346066163484,-0.061191699473530065,0.0020403071539522636,-0.003582023564351358,-0.08208551238751735,0.021562360450998533,0.030480738030767257,-0.0005391156064944676,0.04009508704517722,0.002663430911853884,-0.005361933752647313,0.17760682090517638,0.010505839733234792,-0.04398253379993174,0.14520333207603786,-0.004217241010863321,0.04527710702510698,0.004641247132858076,0.011078885759570003,0.002782741358071093,0.01725950783807344,0.03718429841479838,-0.02386541229007605,-0.08286603438298358,-0.013528554559722922,0.13213687506655583
F017,0.15818807436126767,0.13617368678529052,0.30257367244006905,0.017343915950137567,0.04340657619537458,,0.14670536637474169,0.0643020002190853,-0.23515668807715698,0.21286369010994757,0.1425326934754701,0.17224573909308677,-0.04989024538136726,0.4026417186209809,0.0009035387268606796,-0.00989355032892902,,0.06831092379976207,0.22355417592662136,0.025029368317962992,0.1923083361345864,-0.009201657052303346,,0.12070046067379867,0.13442285442679142,0.32883179273808383,0.09246742486409198,,0.028241882953025887,0.10433009307916857,-0.11724151991292811,0.026921307971493502,0.47040929760624056,0.17858492205361984,0.027640845121138107,,0.07904023009274147,0.055689695853393936,0.3321374636701958,-0.04569825786036247,0.27539452347420396,0.0515810445182191,0.17485412910095335,-0.009253176204794293,0.13475751015183932,0.0333904280308637
F018,0.4941337270453212,0.0713090916787149,0.04048176680538412,0.034317369760133304,,0.18348712731241887,0.34125961786538894,,-0.16364801782499552,0.17567286470048546,0.37341334017073013,,-0.016919775379590295,0.09096770416512365,0.0877792618834221,0.050822003710167575,0.06831092379976207,,0.23052939664845895,0.12507136250550727,0.19118895800672084,0.10849755727763687,0.1651648795449327,,0.3245157017306742,0.20756066287756508,,0.045495634692635074,0.3961934889091494,,-0.12398550224031375,0.10450400671376495,0.0999494323638958,0.3927430303108614,0.10652394963356615,0.10997538812837258,,-0.0059136938180026615,0.21190116127085235,0.014005645084837906,0.2807269582312715,0.4995185157972157,,-0.20253969084878307,,0.46074396650052946
F019,0.18366950383314212,0.16003792631889718,0.04296711406806292,0.0322502168795681,0.1693074343285409,0.3319814096433185,0.026103299657716354,0.20866163960789055,-0.0026159336289178327,,0.027505520057825056,0.18970736407736688,0.0155485942727201,0.13159036447874597,0.029302989303601885,0.0300216706415384,0.22355417592662136,0.23052939664845895,,0.08055838520761648,0.004452639542471654,0.014736484080037499,0.34928034183336837,0.18132714266763866,0.03869857756510409,,0.20392100036056343,0.11742221580678833,0.08950397322944025,0.20568197469104169,-0.020755661925737568,0.0941972062601204,0.1404508856232728,0.15209806869145115,0.07394565527485544,0.3755127050571357,0.23212576950715821,0.07221266222826465,,0.011161432854645915,,0.25701381286272806,0.18394361349134064,-0.08317456829481025,0.18578673534560855,0.13369956416336018
F020,0.11358859179531565,0.01413595231245387,-0.02062989839860856,0.0019268183479421114,0.050594567850761024,0.08913200376560551,-0.06652213298607675,0.19800202383503945,-0.06115014786232864,0.06456487535058167,-0.06612211151042663,0.08772389488549083,-0.0021721166918889936,0.04706459221197183,-0.06784270473003559,0.17208049133448505,0.025029368317962992,0.12507136250550727,0.08055838520761648,,-0.04513297154843036,-0.1701032854696915,0.07405409874786552,0.12895197991851087,-0.03256251598089264,0.07531829810987667,0.163533184850248,0.013455577903416354,0.01683985148009812,0.11296614210422301,-0.02903034474971617,,0.04045085511684106,0.08697739451148181,,0.041459270822132466,0.1302982621021438,0.012251591915001485,0.0668445988245245,-0.013330326889680165,0.11528815343535398,0.13265760815338343,0.08323767377994452,-0.1654232701260871,0.0906821328381656,0.07505204369910146
F021,0.277578357595369,0.017522009170048564,0.20548955241329775,0.07308727317050012,0.12337093930006482,0.2028855807763773,,0.08225572087700166,-0.37390325773481714,0.022063606424710686,,0.3870466027499232,-0.15925824153803514,0.08034131938037867,-0.04952896125000223,-0.026287346066163484,0.1923083361345864,0.19118895800672084,0.004452639542471654,-0.04513297154843036,,-0.005812286553491283,0.1962026284657345,0.2254150146426729,,0.05171602787506341,0.15403427049208634,0.10502457067972333,0.08809770358222631,0.2560363389829948,-0.3817220472134247,-0.024528730357699348,0.08620784125030186,0.38731428051783817,-0.051929883883820194,0.1935429377833751,0.18125937255778402,-0.020648893039021624,0.0500681863843171,-0.003885060599493146,0.0703008279247463,0.05594792103717403,0.37601109389242177,0.007938979133421186,0.33945597610906375,0.03891455954916848
